Sub,mm2_r,mm2_z
04023-A,0.495464481345211,0.543276943220887
04024-A,0.507024763425625,0.558716844024568
04025-A,0.628210525779315,0.73845454461545
04027-A,0.474884817853756,0.516358771520833
04028-A,0.271583342685514,0.278572456752527
04029-A,0.578182161194585,0.659727686758982
04032-A,0.599009550070446,0.691601036978514
04050-A,0.40397801443575,0.428393685156874
04051-A,0.52234244275053,0.57955572001487
04052-A,0.547680176718347,0.615061462682484
04061-A,0.722190223428331,0.912207761455049
04065-A,-0.441728995035593,-0.474376923426977
04071-A,0.282137334803701,0.290002740260931
04073-A,-0.292719660031975,-0.301538216955145
04080-A,0.427759731028057,0.457151459663453
04082-A,0.445910742737664,0.479584442918864
04085-A,0.591772826795335,0.680389921482568
04093-A,0.578872047929978,0.660764632849367
04098-A,0.474306170579803,0.515611897677817
04100-A,0.687644067534908,0.843472722846228
04118-A,0.180883386762418,0.182895805800326
04119-A,0.650613793919161,0.776362287995413
04125-A,0.446926715420362,0.480853282444522
04130-A,0.702508553068138,0.872236293538042
04133-A,0.495480942067173,0.543298759753406
04148-A,0.75407480211825,0.982334701285633
04149-A,0.651572648677384,0.778026742979474
04152-A,0.531877858351846,0.592760185951751
04153-A,0.150382605488139,0.151531871202423
04154-A,0.473745771007739,0.51488908062407
04156-A,0.616186219265972,0.718833489089037
04159-A,0.734929184563059,0.939362428691541
04172-A,0.606286777424643,0.703028831019128
04174-A,0.355746006082344,0.372007045482263
04188-A,0.403219180790329,0.427487190932884
04213-A,0.564950409697021,0.640074695045025
04214-A,0.594490018934626,0.684581869638259
04218-A,0.0766617557636558,0.0768124685806561
04219-A,0.599424316195081,0.692248159577252
04222-A,0.752023898905237,0.977597268681448
04224-A,-0.35076198091222,-0.366312372799734
04225-A,0.605216916927119,0.701338859941844
04227-A,0.385851065248338,0.406916126985005
04235-A,0.394695176996288,0.417349494221427
04238-A,-0.0153717232171191,-0.0153729341163151
04242-A,0.61108636746464,0.710653349096205
04243-A,0.602696294985559,0.697370843001848
04247-A,0.330094607313378,0.34293442726748
04251-A,0.526381365291994,0.585126331308288
04257-A,0.254921718966985,0.260669593111852
04260-A,0.699401642469676,0.866128239867877
04261-A,0.428265273917762,0.457770386739611
04262-A,0.0928523254713443,0.0931205581843813
04263-A,-0.200420594387362,-0.203170711628666
04264-A,0.16571349353892,0.167255871524316
04265-A,0.545142600061317,0.611443759873177
04280-A,0.550404041004329,0.618960768509955
04284-A,0.50809685468697,0.560160967879136
04285-A,0.533837940064571,0.59549749462337
04287-A,0.581847806212803,0.665251737034314
04288-A,0.420743161161401,0.448594698506904
04291-A,0.651518996835255,0.777933514556971
04297-A,-0.168904309558518,-0.170538581139007
04299-A,0.712599318044847,0.892445108953955
04301-A,0.453522371790387,0.489125870628951
04310-A,0.48363916958148,0.527723721063273
04324-A,0.641845533972808,0.761305925506466
04329-A,0.672875054338794,0.815978409929353
04330-A,0.60768676233377406,0.705245517420365
04331-A,0.615039085192343,0.716986313783613
04334-A,0.428470056714203,0.458021192019902
04335-A,0.663916212990211,0.799784386182949
04339-A,0.220230486543464,0.223898331416065
04341-A,0.783018382114896,1.05312514385978
04345-A,-0.0123313261996282,-0.0123319512970826
04348-A,0.412500509650155,0.438620722653243
04351-A,0.598484743434336,0.690782946284966
04358-A,0.539140659406517,0.60294332393384
04374-A,0.376435618033833,0.395900266254145
04387-A,0.763058641566647,1.00349638323574
04392-A,0.415335239399403,0.442041538075794
04393-A,0.634475980125378,0.748872767812842
04399-A,0.365699232252076,0.383449297747283
04403-A,0.399114834289538,0.422595605085368
04405-A,0.654039820353784,0.782326134885289
04407-A,0.661601025711569,0.795655646600168
04409-A,0.473055817942303,0.513999841633209
04410-A,0.221991411521974,0.225749774100059
04413-A,0.395714083331399,0.41855699654044
04417-A,0.550988177030476,0.619799160583447
04425-A,0.170895441777974,0.172588898511552
04436-A,0.643256020854994,0.763708275936584
04438-A,0.628864706065554,0.739535940989132
04441-A,0.451232740461449,0.486247111853505
04442-A,0.324913934814294,0.337131297365058
04443-A,0.552688252530767,0.622243645482888
04445-A,0.698813926368609,0.864978668800231
04446-A,0.704150227969915,0.875485033447055
04454-A,0.514720538212375,0.569130651419086
04456-A,0.412544970184507,0.438674300859438
04457-A,0.456000585692439,0.492250230401495
04459-A,0.529267902549907,0.589127633918724
04461-A,0.351849737799318,0.36755327708117
04462-A,0.638825311438888,0.756186623768728
04463-A,0.503149071846671,0.553513764974451
04467-A,0.202591838890853,0.205433851408854
04470-A,0.554300681842722,0.624568225521664
04471-A,0.59661062950291,0.687868014693693
04472-A,0.328099904881081,0.340697447646367
04476-A,0.479239816372754,0.521996980786059
04477-A,0.414570882202098,0.441118193799109
04479-A,0.490821568837671,0.537142063979606
04480-A,0.592639374583857,0.681724526159888
04485-A,0.46410949272231,0.50253630954958
04487-A,0.26968013525136,0.27651883833056
04494-A,0.461041882089531,0.498633606748961
04495-A,0.4118022697264,0.437779602648356
04499-A,0.597779556158886,0.689684930443972
04500-A,0.667327539791521,0.805909472540084
U0004-A,0.368032168566134,0.386145059859138
U0008-A,0.547987381948728,0.615500403717658
U0009-A,0.604767873362687,0.700630571624043
U0010-A,0.586124176860161,0.671741355013875
U0011-A,0.764800463701603,1.00767933337366
U0013-A,0.621945171552846,0.728171098606311
U0014-A,0.650303724193413,0.775824815445936
U0015-A,0.248006624463146,0.253287671097095
U0019-A,0.676875723826416,0.823325323826671
U0021-A,0.309051159997977,0.319496032505623
U0023-A,0.486550812912902,0.531531377184589
U0025-A,0.217391708112197,0.220916799931924
U0028-A,0.599787873517551,0.692815798820402
U0029-A,-0.0285551525080758,-0.028562917566764
U0030-A,0.649141204458691,0.773813049315431
U0033-A,0.364504415146069,0.382070716388863
U0034-A,-0.139397815771749,-0.140311405807483
U0036-A,0.50376112788148,0.554333629770747
U0037-A,0.618847472379651,0.723135054128451
U0039-A,0.351634657142511,0.367307828948217
U0040-A,0.741855691746381,0.954593775276617
U0043-A,0.594949149794182,0.685292259207585
U0044-A,0.555041746335403,0.625638602497483
U0046-A,0.0173315298297558,0.0173332655020237
U0047-A,0.557963558742349,0.629871255713127
U0049-A,-0.426577945254175,-0.455705897125489
U0050-A,0.58864106304125,0.675584046567048
U0051-A,0.624141092915335,0.731760285484968
U0053-A,0.361744656881363,0.3788917824705
U0054-A,0.302509269167447,0.312279332783637
U0061-A,0.708117964232717,0.883398852064223
U0063-A,0.533047945166359,0.594393283839636
U0064-A,0.515416352419815,0.570077718306553
00002-B,0.734585801171399,0.938616156184382
00003-B,0.251759530785798,0.257290527966771
00005-B,0.313114432250783,0.323994656741494
00006-B,0.458030767725004,0.494816391114978
00007-B,0.636742685988268,0.75267597075958
00010-B,0.216498393918379,0.219979365149986
00012-B,0.430016502408748,0.459916927259074
