refCode,Pairs,Domain,r_twin_PP,z_twin_PP
03031_UR,UR,scenes val.,0.7045416046383417,0.8762617335450512
03035_UR,UR,scenes val.,0.6682831742159882,0.8076343333243774
03043_UR,UR,scenes val.,0.696537156656028,0.860542655065586
03046_UR,UR,scenes val.,0.8157915385680803,1.1441043510780622
03051_UR,UR,scenes val.,0.5624164238690501,0.6363605863730889
03061_UR,UR,scenes val.,0.8534497553609192,1.268717788883623
03069_UR,UR,scenes val.,0.7774327787792117,1.0388480846462118
03074_UR,UR,scenes val.,0.5223444507744974,0.5795584814860151
03076_UR,UR,scenes val.,0.7428716339603836,0.9568569786241513
03081_UR,UR,scenes val.,0.5894909483788566,0.6768855534084003
03087_UR,UR,scenes val.,0.8149075303016828,1.14146713074998
03089_UR,UR,scenes val.,0.7876136239357375,1.0651148469495968
03102_UR,UR,scenes val.,0.7700465040219834,1.0204420008008253
03103_UR,UR,scenes val.,0.5883708087232684,0.6751705991935014
03105_UR,UR,scenes val.,0.593774316875324,0.6834756957545131
03106_UR,UR,scenes val.,0.7525454366050714,0.9787987811980179
03109_UR,UR,scenes val.,0.6135126150987633,0.7145348008795732
03110_UR,UR,scenes val.,0.7872955115286223,1.0642775222692546
03113_UR,UR,scenes val.,0.7198552841683634,0.907344558624109
03120_UR,UR,scenes val.,0.74712226734947,0.9664095964804188
03128_UR,UR,scenes val.,0.646156610674257,0.7686720553592491
03130_UR,UR,scenes val.,0.7398228190507335,0.9500878473894644
03132_UR,UR,scenes val.,0.6097155759439264,0.7084685078485458
03134_UR,UR,scenes val.,0.5472730972078732,0.6144801441616579
03142_UR,UR,scenes val.,0.6200690883263662,0.7251173248132722
03156_UR,UR,scenes val.,0.7880043645410822,1.066144854873415
03158_UR,UR,scenes val.,0.8456966284648401,1.2408457259821997
03178_UR,UR,scenes val.,0.7875835056609682,1.0650355233073037
03181_UR,UR,scenes val.,0.7035264706814487,0.8742489193484122
03184_UR,UR,scenes val.,0.6583678908961448,0.7899273728680452
03187_UR,UR,scenes val.,0.7909068644533598,1.0738488106997932
03192_UR,UR,scenes val.,0.6779595335009986,0.8253282804098535
03193_UR,UR,scenes val.,0.7982605822351374,1.0937991399576639
03197_UR,UR,scenes val.,0.7280846819351978,0.9246391333671763
03201_UR,UR,scenes val.,0.7104707226362456,0.8881337326603642
03204_UR,UR,scenes val.,0.8191676992387883,1.1542821403545438
03206_UR,UR,scenes val.,0.7226253661177593,0.9131178602080212
03211_UR,UR,scenes val.,0.7257439634274554,0.9196757047597127
03217_UR,UR,scenes val.,0.8514618377650213,1.2614444393215036
03219_UR,UR,scenes val.,0.4855631561172615,0.5302382068655374
03225_UR,UR,scenes val.,0.638881949403443,0.7562823176604688
03229_UR,UR,scenes val.,0.7425315508545234,0.9560985320620814
03235_UR,UR,scenes val.,0.7978597627242376,1.0926952576323827
03236_UR,UR,scenes val.,0.8621398739530118,1.30162099176126
03239_UR,UR,scenes val.,0.8983407840533748,1.4635546562985375
03240_UR,UR,scenes val.,0.6093831450897804,0.7079395380112599
03243_UR,UR,scenes val.,0.7976300461759854,1.0920634792150323
03248_UR,UR,scenes val.,0.8625493783102058,1.3032183620603022
03252_UR,UR,scenes val.,0.832611234081498,1.1965890430251065
03263_UR,UR,scenes val.,0.7998657901102355,1.0982395945553602
03265_UR,UR,scenes val.,0.7835328009995906,1.054456182901143
03266_UR,UR,scenes val.,0.8290113788311723,1.1849669291477258
03267_UR,UR,scenes val.,0.7106583636679442,0.8885127304062068
03268_UR,UR,scenes val.,0.7916613503115706,1.0758668589041147
