Item,Value,FamId,is_repeated
sc004,NA,00015,2
sc143,9,00015,1
sc108,6,00015,1
sc164,6,00015,2
sc176,NA,00015,2
sc008,9,00015,1
sc001,4,00015,2
sc074,3,00015,1
sc142,1,00015,1
sc116,3,00015,1
sc115,9,00015,1
sc143,8,00015,2
sc170,2,00015,2
sc025,4,00015,2
sc004,9,00015,1
sc162,1,00015,1
sc046,NA,00015,2
sc103,9,00015,2
sc053,9,00015,2
sc047,9,00015,1
sc048,5,00015,2
sc103,9,00015,1
sc122,5,00015,2
sc082,NA,00015,2
sc013,6,00015,1
sc165,9,00015,2
sc189,9,00015,1
sc198,2,00015,1
sc047,NA,00015,2
sc053,9,00015,1
sc002,6,00015,1
sc049,7,00015,1
sc088,4,00015,1
sc055,4,00015,1
sc184,6,00015,1
sc164,5,00015,1
sc015,7,00015,1
sc149,6,00016,1
sc142,NA,00016,2
sc046,NA,00016,2
sc079,4,00016,2
sc050,9,00016,2
sc120,NA,00016,2
sc008,NA,00016,2
sc001,2,00016,1
sc188,7,00016,1
sc074,5,00016,1
sc055,2,00016,1
sc161,9,00016,1
sc065,7,00016,1
sc151,8,00016,1
sc088,4,00016,2
sc015,9,00016,1
sc047,7,00016,1
sc020,3,00016,1
sc082,7,00016,1
sc143,8,00016,1
sc048,3,00016,1
sc146,5,00016,1
sc025,7,00016,1
sc108,5,00016,2
sc080,8,00016,2
sc034,3,00016,1
sc080,8,00016,1
sc004,9,00016,1
sc004,NA,00016,2
sc162,3,00016,1
sc025,8,00016,2
sc165,9,00016,1
sc089,4,00016,1
sc164,4,00016,2
sc108,2,00016,1
sc021,8,00016,1
sc001,4,00016,2
sc065,8,00016,2
sc170,1,00016,1
sc049,NA,00016,2
sc075,8,00016,1
sc032,NA,00016,2
sc162,NA,00016,2
sc089,6,00016,2
sc051,7,00016,2
sc020,NA,00016,2
sc176,NA,00016,2
sc176,7,00016,1
sc053,9,00016,2
sc115,9,00016,1
sc120,5,00016,1
sc146,NA,00016,2
sc184,1,00016,1
sc046,7,00016,1
sc115,NA,00016,2
sc008,9,00016,1
sc198,1,00016,2
sc051,5,00016,1
sc079,3,00016,1
sc103,9,00016,2
sc116,NA,00016,2
sc151,NA,00016,2
sc188,6,00016,2
sc047,NA,00016,2
sc021,NA,00016,2
sc122,4,00016,1
sc103,9,00016,1
sc143,8,00016,2
sc015,NA,00016,2
sc198,2,00016,1
sc013,8,00016,1
sc074,NA,00016,2
sc194,NA,00016,2
sc164,3,00016,1
sc053,8,00016,1
sc149,7,00016,2
sc075,8,00016,2
sc116,7,00016,1
sc050,8,00016,1
sc088,4,00016,1
sc055,NA,00016,2
sc082,NA,00016,2
sc085,7,00016,1
sc161,NA,00016,2
sc170,1,00016,2
sc049,8,00016,1
sc002,NA,00016,2
sc085,NA,00016,2
sc048,6,00016,2
sc189,9,00016,1
sc142,3,00016,1
sc002,9,00016,1
sc184,NA,00016,2
sc194,9,00016,1
sc165,9,00016,2
sc189,9,00016,2
