Item_2,Value,FamId,is_repeated
OBJECTS47,5,105,1
OBJECTS15,3,105,2
OBJECTS24,7,105,1
OBJECTS45,6,105,1
OBJECTS2,4,105,1
OBJECTS43,1,105,2
OBJECTS42,2,105,1
OBJECTS48,4,105,1
OBJECTS19,NA,105,2
OBJECTS47,4,105,2
OBJECTS46,NA,105,2
OBJECTS8,NA,105,2
OBJECTS22,5,105,1
OBJECTS41,7,105,1
OBJECTS27,6,105,2
OBJECTS7,NA,105,2
OBJECTS5,5,105,1
OBJECTS3,3,105,2
OBJECTS34,NA,105,2
OBJECTS24,7,105,2
OBJECTS2,NA,105,2
OBJECTS12,7,105,2
OBJECTS31,5,105,1
OBJECTS37,4,105,1
OBJECTS14,NA,105,2
OBJECTS46,4,105,1
OBJECTS15,4,105,1
OBJECTS48,NA,105,2
OBJECTS12,7,105,1
OBJECTS21,4,105,2
OBJECTS35,7,105,1
OBJECTS14,6,105,1
OBJECTS40,NA,105,2
OBJECTS39,7,105,1
OBJECTS33,7,105,1
OBJECTS9,3,105,2
OBJECTS21,3,105,1
OBJECTS23,NA,105,2
OBJECTS29,4,105,1
OBJECTS29,NA,105,2
OBJECTS28,NA,105,2
OBJECTS31,NA,105,2
OBJECTS7,5,105,1
OBJECTS4,3,105,1
OBJECTS1,1,105,1
OBJECTS32,NA,105,2
OBJECTS4,NA,105,2
OBJECTS28,5,105,1
OBJECTS10,6,105,1
OBJECTS33,5,105,2
OBJECTS18,7,105,1
OBJECTS17,NA,105,2
OBJECTS42,NA,105,2
OBJECTS23,7,105,1
OBJECTS25,5,105,1
OBJECTS25,NA,105,2
OBJECTS43,1,105,1
OBJECTS36,4,105,1
OBJECTS8,4,105,1
OBJECTS27,5,105,1
OBJECTS26,6,105,1
OBJECTS38,1,105,1
OBJECTS49,NA,105,2
OBJECTS37,NA,105,2
OBJECTS6,4,105,2
OBJECTS10,NA,105,2
OBJECTS39,7,105,2
OBJECTS36,1,105,2
OBJECTS5,NA,105,2
OBJECTS44,4,105,1
OBJECTS18,7,105,2
OBJECTS11,7,105,1
OBJECTS26,NA,105,2
OBJECTS40,6,105,1
OBJECTS16,NA,105,2
OBJECTS41,NA,105,2
OBJECTS30,3,105,2
OBJECTS49,5,105,1
OBJECTS44,NA,105,2
OBJECTS35,NA,105,2
OBJECTS34,7,105,1
OBJECTS9,5,105,1
OBJECTS11,NA,105,2
OBJECTS16,5,105,1
OBJECTS38,NA,105,2
OBJECTS3,2,105,1
OBJECTS45,NA,105,2
OBJECTS20,NA,105,2
OBJECTS22,NA,105,2
OBJECTS1,NA,105,2
OBJECTS13,NA,105,2
OBJECTS13,7,105,1
OBJECTS50,5,105,1
OBJECTS6,4,105,1
OBJECTS50,NA,105,2
OBJECTS19,6,105,1
OBJECTS20,7,105,1
OBJECTS12,5,106,2
OBJECTS15,2,106,2
OBJECTS24,6,106,1
OBJECTS5,5,106,1
OBJECTS2,4,106,1
OBJECTS38,6,106,1
OBJECTS46,5,106,1
OBJECTS34,5,106,1
OBJECTS23,5,106,1
OBJECTS26,6,106,1
OBJECTS19,4,106,1
OBJECTS20,6,106,1
OBJECTS17,4,106,1
OBJECTS2,NA,106,2
OBJECTS28,4,106,1
OBJECTS21,2,106,2
OBJECTS49,2,106,1
OBJECTS16,4,106,1
OBJECTS13,NA,106,2
OBJECTS13,5,106,1
OBJECTS27,5,106,2
OBJECTS14,NA,106,2
OBJECTS42,NA,106,2
OBJECTS27,5,106,1
OBJECTS11,3,106,1
OBJECTS23,NA,106,2
OBJECTS34,NA,106,2
OBJECTS21,4,106,1
OBJECTS20,NA,106,2
OBJECTS3,6,106,2
OBJECTS1,4,106,1
OBJECTS11,NA,106,2
OBJECTS5,NA,106,2
OBJECTS1,NA,106,2
OBJECTS45,4,106,1
OBJECTS9,2,106,2
OBJECTS44,NA,106,2
OBJECTS29,NA,106,2
OBJECTS22,NA,106,2
OBJECTS30,2,106,2
OBJECTS40,6,106,1
OBJECTS4,NA,106,2
OBJECTS50,3,106,1
OBJECTS38,NA,106,2
OBJECTS17,NA,106,2
OBJECTS46,NA,106,2
OBJECTS16,NA,106,2
OBJECTS31,NA,106,2
OBJECTS18,5,106,2
OBJECTS22,3,106,1
OBJECTS25,6,106,1
OBJECTS14,5,106,1
OBJECTS4,6,106,1
OBJECTS29,6,106,1
OBJECTS41,NA,106,2
OBJECTS35,NA,106,2
OBJECTS48,NA,106,2
OBJECTS32,NA,106,2
OBJECTS12,4,106,1
OBJECTS26,NA,106,2
OBJECTS28,NA,106,2
OBJECTS19,NA,106,2
OBJECTS39,5,106,1
OBJECTS15,4,106,1
OBJECTS44,4,106,1
OBJECTS9,2,106,1
OBJECTS36,4,106,1
OBJECTS43,2,106,1
OBJECTS8,4,106,1
OBJECTS6,5,106,1
OBJECTS35,4,106,1
OBJECTS7,4,106,1
OBJECTS37,NA,106,2
OBJECTS41,4,106,1
OBJECTS7,NA,106,2
OBJECTS42,3,106,1
OBJECTS48,2,106,1
OBJECTS31,5,106,1
OBJECTS39,5,106,2
OBJECTS8,NA,106,2
OBJECTS10,2,106,1
OBJECTS49,NA,106,2
OBJECTS45,NA,106,2
OBJECTS47,5,106,2
OBJECTS24,7,106,2
OBJECTS10,NA,106,2
OBJECTS33,5,106,1
OBJECTS36,3,106,2
OBJECTS50,NA,106,2
OBJECTS3,5,106,1
OBJECTS37,5,106,1
OBJECTS43,2,106,2
OBJECTS32,6,106,1
OBJECTS25,NA,106,2
OBJECTS47,4,106,1
OBJECTS30,3,106,1
OBJECTS40,NA,106,2
OBJECTS18,5,106,1
OBJECTS6,5,106,2
OBJECTS33,6,106,2
OBJECTS41,4,107,1
OBJECTS39,4,107,1
OBJECTS10,NA,107,2
OBJECTS2,NA,107,2
OBJECTS24,4,107,1
OBJECTS47,4,107,2
OBJECTS15,2,107,2
OBJECTS27,4,107,1
OBJECTS31,NA,107,2
OBJECTS42,NA,107,2
OBJECTS36,3,107,2
OBJECTS20,NA,107,2
OBJECTS17,NA,107,2
OBJECTS38,3,107,1
OBJECTS15,2,107,1
OBJECTS1,NA,107,2
OBJECTS41,NA,107,2
OBJECTS3,2,107,2
OBJECTS18,4,107,2
OBJECTS50,NA,107,2
OBJECTS34,4,107,1
OBJECTS16,NA,107,2
OBJECTS48,2,107,1
OBJECTS50,2,107,1
OBJECTS45,NA,107,2
OBJECTS35,NA,107,2
OBJECTS49,2,107,1
OBJECTS28,4,107,1
OBJECTS32,NA,107,2
OBJECTS21,2,107,2
OBJECTS5,NA,107,2
OBJECTS21,2,107,1
OBJECTS42,3,107,1
OBJECTS9,2,107,1
OBJECTS39,4,107,2
OBJECTS37,NA,107,2
OBJECTS12,2,107,2
OBJECTS8,NA,107,2
OBJECTS14,NA,107,2
OBJECTS13,4,107,1
OBJECTS11,NA,107,2
OBJECTS22,NA,107,2
OBJECTS44,4,107,1
OBJECTS49,NA,107,2
OBJECTS45,3,107,1
OBJECTS43,2,107,2
OBJECTS16,2,107,1
OBJECTS47,4,107,1
OBJECTS46,2,107,1
OBJECTS34,NA,107,2
OBJECTS7,NA,107,2
OBJECTS36,3,107,1
OBJECTS23,4,107,1
OBJECTS1,2,107,1
OBJECTS40,NA,107,2
OBJECTS19,NA,107,2
OBJECTS20,4,107,1
OBJECTS5,3,107,1
OBJECTS6,3,107,2
OBJECTS31,3,107,1
OBJECTS30,2,107,2
OBJECTS29,4,107,1
OBJECTS48,NA,107,2
OBJECTS26,NA,107,2
OBJECTS3,3,107,1
OBJECTS8,2,107,1
OBJECTS37,3,107,1
OBJECTS13,NA,107,2
OBJECTS9,2,107,2
OBJECTS6,4,107,1
OBJECTS17,4,107,1
OBJECTS40,3,107,1
OBJECTS19,4,107,1
OBJECTS30,2,107,1
OBJECTS4,3,107,1
OBJECTS33,4,107,2
OBJECTS25,NA,107,2
OBJECTS4,NA,107,2
OBJECTS24,3,107,2
OBJECTS38,NA,107,2
OBJECTS35,3,107,1
OBJECTS11,2,107,1
OBJECTS10,2,107,1
OBJECTS18,4,107,1
OBJECTS43,2,107,1
OBJECTS14,3,107,1
OBJECTS44,NA,107,2
OBJECTS23,NA,107,2
OBJECTS46,NA,107,2
OBJECTS26,4,107,1
OBJECTS29,NA,107,2
OBJECTS22,2,107,1
OBJECTS28,NA,107,2
OBJECTS12,2,107,1
OBJECTS32,4,107,1
OBJECTS33,4,107,1
OBJECTS25,4,107,1
OBJECTS27,4,107,2
OBJECTS2,3,107,1
OBJECTS7,2,107,1
OBJECTS47,5,108,2
OBJECTS45,6,108,1
OBJECTS24,5,108,1
OBJECTS29,4,108,1
OBJECTS36,4,108,2
OBJECTS6,4,108,1
OBJECTS37,6,108,1
OBJECTS44,6,108,1
OBJECTS39,6,108,1
OBJECTS48,4,108,1
OBJECTS22,4,108,1
OBJECTS13,3,108,1
OBJECTS12,4,108,2
OBJECTS27,4,108,1
OBJECTS41,5,108,1
OBJECTS42,4,108,1
OBJECTS17,NA,108,2
OBJECTS9,5,108,2
OBJECTS21,4,108,2
OBJECTS3,4,108,1
OBJECTS49,4,108,1
OBJECTS5,4,108,1
OBJECTS17,5,108,1
OBJECTS18,6,108,2
OBJECTS26,5,108,1
OBJECTS20,NA,108,2
OBJECTS20,5,108,1
OBJECTS21,4,108,1
OBJECTS8,NA,108,2
OBJECTS9,5,108,1
OBJECTS8,5,108,1
OBJECTS11,5,108,1
OBJECTS36,5,108,1
OBJECTS14,3,108,1
OBJECTS15,4,108,2
OBJECTS28,4,108,1
OBJECTS26,NA,108,2
OBJECTS23,5,108,1
OBJECTS50,4,108,1
OBJECTS34,5,108,1
OBJECTS2,NA,108,2
OBJECTS3,5,108,2
OBJECTS5,NA,108,2
OBJECTS7,NA,108,2
OBJECTS46,5,108,1
OBJECTS25,5,108,1
OBJECTS10,4,108,1
OBJECTS32,NA,108,2
OBJECTS31,4,108,1
OBJECTS33,5,108,1
OBJECTS49,NA,108,2
OBJECTS41,NA,108,2
OBJECTS15,4,108,1
OBJECTS45,NA,108,2
OBJECTS16,NA,108,2
OBJECTS38,4,108,1
OBJECTS30,5,108,2
OBJECTS32,5,108,1
OBJECTS19,5,108,1
OBJECTS40,5,108,1
OBJECTS48,NA,108,2
OBJECTS29,NA,108,2
OBJECTS22,NA,108,2
OBJECTS27,5,108,2
OBJECTS18,5,108,1
OBJECTS37,NA,108,2
OBJECTS39,6,108,2
OBJECTS28,NA,108,2
OBJECTS23,NA,108,2
OBJECTS25,NA,108,2
OBJECTS19,NA,108,2
OBJECTS30,5,108,1
OBJECTS7,5,108,1
OBJECTS4,4,108,1
OBJECTS50,NA,108,2
OBJECTS13,NA,108,2
OBJECTS43,4,108,2
OBJECTS33,5,108,2
OBJECTS38,NA,108,2
OBJECTS42,NA,108,2
OBJECTS1,NA,108,2
OBJECTS24,4,108,2
OBJECTS6,5,108,2
OBJECTS47,6,108,1
OBJECTS34,NA,108,2
OBJECTS44,NA,108,2
OBJECTS1,3,108,1
OBJECTS35,6,108,1
OBJECTS40,NA,108,2
OBJECTS12,3,108,1
OBJECTS10,NA,108,2
OBJECTS16,5,108,1
OBJECTS43,4,108,1
OBJECTS11,NA,108,2
OBJECTS46,NA,108,2
OBJECTS31,NA,108,2
OBJECTS35,NA,108,2
OBJECTS2,5,108,1
OBJECTS4,NA,108,2
OBJECTS14,NA,108,2
OBJECTS40,NA,109,2
OBJECTS8,NA,109,2
OBJECTS26,NA,109,2
OBJECTS23,NA,109,2
OBJECTS42,NA,109,2
OBJECTS8,3,109,1
OBJECTS24,2,109,1
OBJECTS37,3,109,1
OBJECTS32,NA,109,2
OBJECTS27,5,109,1
OBJECTS50,6,109,1
OBJECTS12,6,109,2
OBJECTS21,1,109,2
OBJECTS22,2,109,1
OBJECTS40,3,109,1
OBJECTS18,6,109,2
OBJECTS9,1,109,2
OBJECTS2,NA,109,2
OBJECTS23,7,109,1
OBJECTS17,7,109,1
OBJECTS15,2,109,1
OBJECTS41,3,109,1
OBJECTS19,NA,109,2
OBJECTS49,1,109,1
OBJECTS19,4,109,1
OBJECTS13,5,109,1
OBJECTS36,2,109,1
OBJECTS29,NA,109,2
OBJECTS28,NA,109,2
OBJECTS10,NA,109,2
OBJECTS17,NA,109,2
OBJECTS36,1,109,2
OBJECTS37,NA,109,2
OBJECTS31,NA,109,2
OBJECTS22,NA,109,2
OBJECTS45,NA,109,2
OBJECTS15,1,109,2
OBJECTS46,1,109,1
OBJECTS34,5,109,1
OBJECTS20,7,109,1
OBJECTS5,7,109,1
OBJECTS33,5,109,1
OBJECTS28,3,109,1
OBJECTS10,1,109,1
OBJECTS47,6,109,2
OBJECTS21,1,109,1
OBJECTS1,NA,109,2
OBJECTS1,1,109,1
OBJECTS43,3,109,1
OBJECTS41,NA,109,2
OBJECTS3,3,109,2
