category,FamId,Sex,Age,Zygosity,avgP_1,avgP_2,varP_1,varP_2,mm2_r_1,mm2_r_2,mm2_z_1,mm2_z_2
FA_TOT,503,2,57,3,4.5075,4.6875,1.852958542713568,2.8980841708542715,0.847136468329514,0.866758305349295,1.24592314522397,1.31989697348676
SC,503,2,57,3,4.23,3.84,4.940918367346938,6.157551020408161,0.894256011979372,0.943834543529804,1.44278023458475,1.77205797783888
AO,504,2,61,1,4.35,1.84,4.104591836734694,0.5759183673469392,0.335868528477683,0.204318272137564,0.34942840663424,0.207234835023156
FA_TOT,504,2,61,1,2.5749999999999993,4.1049999999999995,1.677763819095477,0.7477135678391946,0.780369133961108,0.745161634664898,1.04631387246249,0.961986487454823
SC,504,2,61,1,3.42,2.55,5.5036734693877545,3.482142857142857,0.80266269639651,0.78899567974775,1.10605283049186,1.06876553010618
AO,505,2,68,1,5.11,4.39,2.2580612244897966,1.8907142857142865,0.526744659158521,0.320716628992595,0.585628999219876,0.332445696358961
FA_TOT,505,2,68,1,4.252500000000001,3.9575000000000005,3.231149497487434,1.630094221105526,0.82569422388899,0.751567510640943,1.17445224972725,0.976547625169043
SC,505,2,68,1,4.77,3.8899999999999997,3.563367346938774,2.1560204081632666,0.682132663281644,0.552670995144512,0.833091797080341,0.622218798452879
FA_TOT,506,2,58,1,2.625,4.1175,2.2506281407035176,1.185873115577888,0.814194728658186,0.62920163242532,1.13934888777209,0.740093473256487
SC,506,2,58,1,3.65,3.4699999999999998,3.0331632653061225,4.045,0.867963982161275,0.786943094246599,1.32476479466194,1.06335118858458
AO,506,2,58,1,NA,3.2800000000000002,NA,2.5220408163265313,NA,0.779852756882587,NA,1.0449946548175
AO,507,2,27,1,3.7700000000000005,NA,3.2062244897959187,NA,0.565696943311594,NA,0.641171878660764,NA
FA_TOT,507,2,27,1,4.1850000000000005,3.8149999999999995,1.9203768844221065,1.2796733668341684,0.341236634561028,0.656101121547922,0.355491470120763,0.785936870323212
SC,507,2,27,1,3.81,3.6399999999999997,2.7539795918367354,1.2351020408163271,0.548198618749865,0.64791773021314,0.615802345679961,0.771701459480574
AO,508,2,30,1,2.83,3.24,2.4143877551020423,3.247346938775509,0.200001390064068,0.569319777651781,0.202734002037906,0.646515835297482
FA_TOT,508,2,30,1,3.877500000000001,3.747499999999999,2.900747487437183,1.6331595477386913,0.789788897936738,0.808884651863379,1.07087034202602,1.12379427858688
SC,508,2,30,1,3.88,4.14,5.107755102040816,4.6126530612244885,0.821982933222378,0.907101491635404,1.16290064212509,1.51091611771152
AO,509,2,38,1,5.13,5.029999999999999,2.824591836734694,2.6572448979591834,0.70174442505634,0.376683425209966,0.870729191664917,0.396189017516678
FA_TOT,509,2,38,1,4.654999999999999,4.2625,1.6994723618090424,2.1028580402010046,0.808968775456414,0.819231086945093,1.12403766530493,1.15447485949706
SC,509,2,38,1,4.42,3.65,3.1567346938775507,4.829081632653061,0.724130444404258,0.883596243877722,0.916274991413522,1.39193666019006
AO,51,2,59,3,2.48,3.62,2.550612244897959,3.454693877551021,0.424747384657791,0.535631016490575,0.453470263856928,0.598008600962891
FA_TOT,51,2,59,3,3.3550000000000004,4.150000000000001,3.0693216080401995,1.1859296482412047,0.867521409929847,0.826859753289249,1.32297316671727,1.17812592466793
SC,51,2,59,3,3.96,4.02,5.926938775510203,7.856734693877556,0.865709753705415,0.932678623612327,1.31569667501472,1.67859219649575
FA_TOT,510,2,46,1,4.875,5.505000000000001,0.8335427135678392,0.24871859296482446,0.761055582579516,0.740167035639771,0.998718854642656,0.950848702652062
SC,510,2,46,1,4.41,5.25,5.5784693877551,0.8290816326530612,0.892090920296105,0.868409825414626,1.43207439280497,1.32657531622371
AO,510,2,46,1,NA,5.21,NA,0.16418367346938786,NA,0.271410727786958,NA,0.278386105805786
AO,511,2,44,1,5.04,3.74,0.6820408163265311,1.4004081632653065,0.527750456984797,0.428394397410041,0.58702205209609,0.457928522914664
FA_TOT,511,2,44,1,3.3325000000000005,3.2425,0.28461683417085526,1.1908982412060292,0.678461764929932,0.704730998650906,0.826258286561107,0.876637897699097
