Item_2,Value,FamId,is_repeated
SCENES31,NA,105,2
SCENES24,2,105,2
SCENES43,2,105,1
SCENES23,2,105,1
SCENES49,3,105,1
SCENES26,1,105,1
SCENES38,3,105,1
SCENES17,NA,105,2
SCENES19,NA,105,2
SCENES25,NA,105,2
SCENES13,7,105,1
SCENES19,1,105,1
SCENES23,NA,105,2
SCENES25,2,105,1
SCENES29,NA,105,2
SCENES17,2,105,1
SCENES39,3,105,1
SCENES37,5,105,1
SCENES1,7,105,1
SCENES26,NA,105,2
SCENES16,6,105,1
SCENES1,NA,105,2
SCENES31,5,105,1
SCENES13,NA,105,2
SCENES7,5,105,1
SCENES38,NA,105,2
SCENES37,NA,105,2
SCENES15,6,105,1
SCENES32,NA,105,2
SCENES32,2,105,1
SCENES49,NA,105,2
SCENES8,NA,105,2
SCENES11,NA,105,2
SCENES12,7,105,2
SCENES4,6,105,1
SCENES33,5,105,1
SCENES39,3,105,2
SCENES11,1,105,1
SCENES28,NA,105,2
SCENES24,2,105,1
SCENES4,NA,105,2
SCENES3,1,105,1
SCENES35,1,105,1
SCENES15,7,105,2
SCENES36,2,105,1
SCENES30,6,105,1
SCENES6,2,105,2
SCENES16,NA,105,2
SCENES45,2,105,1
SCENES50,NA,105,2
SCENES42,3,105,1
SCENES7,NA,105,2
SCENES12,7,105,1
SCENES47,5,105,2
SCENES27,6,105,1
SCENES3,1,105,2
SCENES40,5,105,1
SCENES45,NA,105,2
SCENES29,7,105,1
SCENES18,1,105,1
SCENES21,4,105,2
SCENES22,NA,105,2
SCENES35,NA,105,2
SCENES20,2,105,1
SCENES44,5,105,1
SCENES9,5,105,1
SCENES27,6,105,2
SCENES33,5,105,2
SCENES30,6,105,2
SCENES34,5,105,1
SCENES2,2,105,1
SCENES47,6,105,1
SCENES42,NA,105,2
SCENES41,2,105,1
SCENES36,2,105,2
SCENES10,NA,105,2
SCENES5,NA,105,2
SCENES46,6,105,1
SCENES14,7,105,1
SCENES9,4,105,2
SCENES50,6,105,1
SCENES48,3,105,1
SCENES44,NA,105,2
SCENES22,2,105,1
SCENES6,3,105,1
SCENES8,6,105,1
SCENES28,6,105,1
SCENES41,NA,105,2
SCENES21,4,105,1
SCENES43,2,105,2
SCENES40,NA,105,2
SCENES34,NA,105,2
SCENES18,2,105,2
SCENES48,NA,105,2
SCENES20,NA,105,2
SCENES10,7,105,1
SCENES5,6,105,1
SCENES14,NA,105,2
SCENES46,NA,105,2
SCENES2,NA,105,2
SCENES28,NA,106,2
SCENES4,5,106,1
SCENES39,1,106,1
SCENES50,3,106,1
SCENES35,NA,106,2
SCENES23,2,106,1
SCENES39,1,106,2
SCENES15,7,106,1
SCENES23,NA,106,2
SCENES3,1,106,1
SCENES48,NA,106,2
SCENES20,2,106,1
SCENES12,6,106,2
SCENES28,6,106,1
SCENES8,NA,106,2
SCENES35,1,106,1
SCENES41,2,106,1
SCENES42,2,106,1
SCENES29,NA,106,2
SCENES34,4,106,1
SCENES24,2,106,1
SCENES7,4,106,1
SCENES27,4,106,1
SCENES14,6,106,1
SCENES2,NA,106,2
SCENES1,NA,106,2
SCENES40,5,106,1
SCENES45,NA,106,2
SCENES2,2,106,1
SCENES18,2,106,2
SCENES47,6,106,1
SCENES36,2,106,2
SCENES46,6,106,1
SCENES32,2,106,1
SCENES13,5,106,1
SCENES31,5,106,1
SCENES29,6,106,1
SCENES46,NA,106,2
SCENES38,NA,106,2
SCENES44,NA,106,2
SCENES1,5,106,1
SCENES19,NA,106,2
SCENES47,5,106,2
SCENES43,2,106,1
SCENES25,2,106,1
SCENES8,5,106,1
SCENES6,2,106,2
SCENES22,NA,106,2
SCENES7,NA,106,2
SCENES48,3,106,1
SCENES17,3,106,1
SCENES26,NA,106,2
SCENES37,6,106,1
SCENES24,2,106,2
SCENES19,1,106,1
